Liens,Largest Contentful Paint (LCP),First Input Delay (FID),Cumulative Layout Shift (CLS),First Contentful Paint (FCP),Interaction to Next Paint (INP)INP est un outil de signal Web essentiel en attente qui remplacera le FID en mars 2024. En savoir plus,Time to First Byte (TTFB),Bonnes pratiques,SEO,Performances,Accessibilité
https://manouvellevie.groupama.fr/nos-simulateurs/simulation-retraite,"2,2 s",23 ms,"0,67","2,2 s",324 ms,"1,5 s",68,89,,
https://manouvellevie.groupama.fr/s-informer-retraite/tout-savoir-age-depart-retraite/combien-de-trimestre-pour-la-retraite,"2,2 s",19 ms,"0,06","1,9 s",237 ms,"0,9 s",73,88,54,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/pension-reversion-nouvelle-loi,"2,4 s",16 ms,"0,06","1,9 s",197 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/apprentissage-trimestres-retraite,2 s,Span Ykn2A introuvable,0,"1,6 s",215 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/minimum-vieillesse-aspa-montant,"2,3 s",20 ms,"0,06","1,8 s",238 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/retraite-progressive-avantages-inconvenients-pieges,"2,2 s",19 ms,"0,05","1,8 s",245 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/en-profiter/comprendre-revenus-retraite/revalorisation-retraite,"2,4 s",19 ms,"0,06","1,9 s",249 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/depart-anticipe-pour-carriere-longue,"2,8 s",18 ms,0,"2,5 s",190 ms,"1,6 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/calcul-simulateur-indemnite-prime-depart-retraite,"2,7 s",18 ms,"0,06","1,9 s",197 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/pension-reversion-remariage,"2,2 s",17 ms,0,"1,9 s",213 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/retraite-moyenne-france,"2,3 s",18 ms,"0,05","1,8 s",214 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/enfants-retraite/comment-savoir-si-j-ai-mes-8-trimestres,2 s,17 ms,0,"1,7 s",210 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/en-profiter/continuer-travailler-retraite-cumul-emploi-retraite/comment-cumuler-activite-professionnelle-et-retraite,"2,1 s",19 ms,0,"1,8 s",301 ms,"0,9 s",73,89,,89
https://manouvellevie.groupama.fr/s-informer-retraite/handicap-inaptitude-travail-invalidite-retraite/retraite-invalidite-pension,"1,7 s",18 ms,0,"1,7 s",210 ms,"0,9 s",73,89,50,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/quel-montant-minimum-retraite-jamais-travaille,"2,5 s",19 ms,"0,06","1,8 s",210 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/qui-est-concerne,"2,3 s",19 ms,"0,06","1,9 s",185 ms,1 s,73,89,,
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/calcul-retraite-brut-net,2 s,19 ms,0,"1,7 s",216 ms,"0,9 s",77,,89,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/retraite-60ans,"2,3 s",21 ms,"0,06","1,7 s",191 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/trop-trimestres-valides,"1,9 s",Span Ykn2A introuvable,0,"1,7 s",Span Ykn2A introuvable,"0,9 s",73,88,50,
https://manouvellevie.groupama.fr/s-informer-retraite/retraite-femme/quelle-retraite-pour-femme-jamais-travaille,"2,4 s",18 ms,"0,06","1,9 s",269 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/calcul-retraite/calcul-retraite-prive,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/retraite-enseignant,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,77,,86,
https://manouvellevie.groupama.fr/nos-simulateurs/simulation-per,"2,1 s",21 ms,"0,57","2,1 s",543 ms,"1,3 s",68,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/clause-du-grand-pere-reforme-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/reforme-des-retraites/qui-sera-concerne-par-la-retraite-minimale-de-1200-euros,"2,3 s",19 ms,0,"1,9 s",257 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/succession-transmission-patrimoine/droit-frais-notaire-succession-heritage,"3,4 s",17 ms,0,3 s,203 ms,"1,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/qui-sera-concerne-par-la-retraite-minimale-de-1200-euros,"2,3 s",19 ms,0,"1,9 s",257 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/pre-retraite-quel-age,"1,9 s",19 ms,0,"1,8 s",210 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/dispositifs-departs-anticipes-retraite-progressive/cumul-emploi-retraite-carriere-longue,"2,3 s",18 ms,"0,06","1,8 s",200 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/combien-de-trimestres-faut-il-valider-en-fonction-de-mon-annee-de-naissance,"2,9 s",18 ms,"0,06","2,3 s",221 ms,"1,3 s",73,88,,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/combien-de-trimestre-pour-la-retraite,"2,2 s",19 ms,"0,06","1,9 s",237 ms,"0,9 s",77,,79,
https://manouvellevie.groupama.fr/reforme-des-retraites/apprentissage-trimestres-retraite,2 s,Span Ykn2A introuvable,0,"1,6 s",215 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/regimes-principaux-regimes-speciaux/retraite-gendarmerie,"2,2 s",17 ms,0,"1,9 s",203 ms,"0,9 s",77,,81,
https://manouvellevie.groupama.fr/s-informer-retraite/essentiel-montant-pension-retraite/aides-petites-retraites,2 s,18 ms,"0,06","1,7 s",180 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/calcul-pension-reversion,"2,4 s",18 ms,"0,06","1,6 s",217 ms,"0,8 s",77,,74,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/plafond-pension-reversion,"2,1 s",Span Ykn2A introuvable,"0,06","1,6 s",228 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/dossier-reforme-retraites/penibilite-reforme-retraite,2 s,17 ms,0,"1,7 s",222 ms,"0,8 s",73,88,,
https://manouvellevie.groupama.fr/se-preparer/completer-retraite-solutions-epargne-retraite/rachat-partiel-assurance-vie-fiscalite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/mariage-pacs-divorce-retraite/pension-reversion-fonctionnaire,"1,9 s",19 ms,0,"1,5 s",206 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/reforme-des-retraites/clause-du-grand-pere-reforme-retraite,"2,2 s",19 ms,"0,06","1,9 s",229 ms,1 s,73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/tout-savoir-age-depart-retraite/bareme-rachat-trimestre-retraite,2 s,Span Ykn2A introuvable,0,"1,5 s",154 ms,"0,9 s",77,,89,
https://manouvellevie.groupama.fr/la-retraite-mode-demploi/documents-preparer-retraite/trimestre-cotise-assimile-majoration-retraite,"1,9 s",18 ms,"0,06","1,7 s",188 ms,"0,9 s",73,88,50,
https://manouvellevie.groupama.fr/se-preparer/demarches-documents-pour-prendre-ma-retraite/modele-lettre-depart-retraite-volontaire,"2,2 s",18 ms,"0,04","1,8 s",251 ms,"0,9 s",73,88,,
https://manouvellevie.groupama.fr/s-informer-retraite/retraite-base-complementaire/bonus-malus-retraite-complementaire-agirc-arrco,"1,8 s",19 ms,0,"1,8 s",198 ms,"0,9 s",73,88,,
